,SAM,IPO,DMI,ENSO
raw monthly,-0.03516373555648873,-0.02711204232578273,0.145255104071792,-0.01947232639390842
raw monthly detrended,-0.04164125803197875,-0.015858769270476997,0.14126690269805975,-0.025743828885429892
anomalous monthly,0.14662008327931655,-0.11930331641404343,0.058728340579934604,0.0701667096141102
anomalous monthly detrended,0.11832272878772983,-0.059976813074504434,0.058866900240637995,0.03931982712894771
raw seasonal,-0.06292263613131129,-0.03154112131332071,0.08809813154775503,-0.019184606252124224
raw seasonal detrended,-0.07671819572473608,-0.017176795873445158,0.08309204430820664,-0.02836046855600984
anomalous seasonal,0.20201423811667263,-0.1286338292191012,-0.007004229234482972,0.09411637364020288
anomalous seasonal detrended,0.15419369343018569,-0.06311324199179558,-0.0435860533459919,0.05550240898875715
raw annual,0.33155792309251786,-0.14192391865638335,-0.06374058009258413,0.1584475192800174
raw annual detrended,0.23679392557487286,-0.037850657964366465,-0.14497228023442882,0.09374014947237443
anomalous annual,0.3315580540469733,-0.14192385635140747,-0.06315273588524595,0.15844747058499684
anomalous annual detrended,0.2367939101591813,-0.03785043922864857,-0.1437128468809409,0.09373768446986033
