,SAM,IPO,DMI,ENSO
raw monthly,0.4364357149520399,0.5485363507984115,0.25211634778585645,0.6665706699420575
raw monthly detrended,0.35668602208551037,0.7256695013729478,0.26551260349110556,0.5689031064478087
anomalous monthly,0.0011080042629386657,0.008072758195492347,0.6448236924098646,0.12010565100489064
anomalous monthly detrended,0.008612016104594961,0.18412458231624299,0.6440422431543464,0.3841506302566364
raw seasonal,0.42345993379282665,0.6884689477505421,0.2788598197469593,0.8073655101397407
raw seasonal detrended,0.32886756575960985,0.8271923287675953,0.30719278207449646,0.7184839075357354
anomalous seasonal,0.009485041829689117,0.10068458035196529,0.931523586109116,0.2306362607679242
anomalous seasonal detrended,0.048684435350449945,0.42205416741154994,0.5926756228409702,0.4802594038102882
raw annual,0.0342036489927484,0.37607828321019166,0.6998661497806912,0.3224419163779498
raw annual detrended,0.13606046145826411,0.8142464353796646,0.3785557948102425,0.5599245659859307
anomalous annual,0.03420357380454388,0.3760784949128962,0.7025068123729754,0.3224420669999342
anomalous annual detrended,0.13606048770203744,0.81424748998392,0.38275591199880404,0.5599349316116731
