,SAM,IPO,DMI,ENSO
raw monthly,0.5459947264993971,0.6086320274043282,0.23880068714642824,0.6336482963412082
raw monthly detrended,0.4413156290594578,0.7876073855980806,0.254207027612436,0.5222907874114963
anomalous monthly,0.00044425743970086354,0.005453540980690825,0.3815383220825744,0.15197616583516976
anomalous monthly detrended,0.006383041957583992,0.15196556615308066,0.3746864553753176,0.5654675160639683
raw seasonal,0.5776403051072345,0.7084053005328961,0.4770403080972612,0.8504798040646662
raw seasonal detrended,0.4490177234742079,0.8544395685598807,0.49512754480720517,0.7434890213619015
anomalous seasonal,0.011406147536146891,0.07745776824683277,0.7402967929151437,0.24619899222060967
anomalous seasonal detrended,0.07958689237373823,0.392155144378888,0.9257422609190388,0.5945864027191982
raw annual,0.0854657369608793,0.3905248993092459,0.8952641800707725,0.4666103996044305
raw annual detrended,0.3783678312419406,0.8576829212259569,0.9016087102425338,0.8535881161665392
anomalous annual,0.07516627277810008,0.3105085198285549,0.8926043747254835,0.39355577268797387
anomalous annual detrended,0.35967158503414015,0.7427905954157231,0.8968325469906206,0.7623265279684419
