,SAM,IPO,DMI,ENSO
raw monthly,23084366604.26053,23083026614.896614,23110157019.365166,23084366326.495293
raw monthly detrended,2725441.701976757,-659617.606413323,-3255015.0467946343,2996393.3657499696
anomalous monthly,-919210.856062832,53327.57147287614,-5982281.45523881,-472541.0785507161
anomalous monthly detrended,-1032991.2023561243,-365507.7424864365,-20728279.791764077,-285649.3855268966
raw seasonal,23067903634.650578,23064177607.758423,23133689349.373024,23064659431.94687
raw seasonal detrended,8441049.805271083,-648485.2364933388,37553243.490848474,2798667.027455143
anomalous seasonal,-2520128.747840397,-200104.92870341803,19467594.926397208,-1040255.7923768505
anomalous seasonal detrended,-2055487.34078012,-305827.1303430707,4116293.948404565,-467670.1591299791
raw annual,23079742481.02126,23083414960.0238,23094785497.03923,23081930868.59462
raw annual detrended,-2531599.4180585514,-149274.42474211534,723771.9100306652,-397810.4577005098
anomalous annual,-3679347.5665704086,202247.50077976566,11333765.42145554,-1577889.1198369646
anomalous annual detrended,-2633649.7580397106,-278658.267407225,29889.410043529293,-666589.4788954863
