,SAM,IPO,DMI,ENSO
raw monthly,0.5459947264994021,0.6086320274043613,0.23880068714642746,0.6336482963412492
raw monthly detrended,0.44131562905947175,0.7876073855980705,0.254207027612436,0.5222907874115192
anomalous monthly,0.00044425743970088544,0.005453540980691049,0.3815383220825742,0.15197616583517878
anomalous monthly detrended,0.006383041957584442,0.1519655661530865,0.37468645537531786,0.5654675160639999
raw seasonal,0.5776403051072306,0.7084053005328916,0.4770403080972575,0.8504798040646742
raw seasonal detrended,0.4490177234742114,0.8544395685598791,0.49512754480720145,0.7434890213619018
anomalous seasonal,0.011406147536146896,0.07745776824683229,0.7402967929151434,0.2461989922206131
anomalous seasonal detrended,0.0795868923737381,0.39215514437888777,0.9257422609190388,0.5945864027192005
raw annual,0.0854657369608794,0.3905248993092465,0.8952641800707749,0.4666103996044304
raw annual detrended,0.37836783124194084,0.857682921225956,0.9016087102425309,0.8535881161665417
anomalous annual,0.0751662727780999,0.3105085198285546,0.8926043747254838,0.3935557726879745
anomalous annual detrended,0.35967158503413965,0.7427905954157246,0.8968325469906222,0.7623265279684406
