,SAM,IPO,DMI,ENSO
raw monthly,-127701349.11725083,-106249366.59674084,755898304.5508955,-98862523.997382
raw monthly detrended,-163295363.0608672,-55893387.89742531,718432714.6058042,-133090656.59605978
anomalous monthly,79643532.11139007,-61999527.062863655,54831228.86183793,32045615.804907117
anomalous monthly detrended,60265531.58809816,-31059149.637963623,52286701.61325859,12508143.158209179
raw seasonal,-189775047.07748246,-124611649.28573568,266747920.73147693,-62699711.07323591
raw seasonal detrended,-260157940.64857656,-61129136.555415764,253465054.99565378,-109201797.26742166
anomalous seasonal,90395816.35037787,-61958512.22288337,13016537.313122397,40720730.67854044
anomalous seasonal detrended,60995000.016607374,-28926961.969871774,3504630.7611406394,18030232.53809379
raw annual,97626323.4956135,-47979390.359183595,8418679.627699038,41060068.28379165
raw annual detrended,49410205.641132034,-9474669.189259205,-7366473.324170295,9934867.472662281
anomalous annual,101393878.7918154,-56843301.59631313,8679352.932709476,48305154.85210948
anomalous annual detrended,51401961.62288557,-17346101.213783078,-7695950.9167979825,16293471.669263856
