,SAM,IPO,DMI,ENSO
raw monthly,0.0074522813807574514,0.007311971013374262,0.02239592260133223,0.007309538464524383
raw monthly detrended,0.019408302795855332,0.018991212618793787,0.057146407939499606,0.019038710276463297
anomalous monthly,0.004398932138861922,0.004333342754173725,0.01216776838023864,0.004357715597973223
anomalous monthly detrended,0.0043427604049262976,0.004269019016273572,0.011554409781968202,0.004289532511975063
raw seasonal,0.012210660424482952,0.011941208860057983,0.013435412472738948,0.011922578930357482
raw seasonal detrended,0.03604247423490028,0.03497899813259279,0.03897285195564543,0.035027636827966196
anomalous seasonal,0.008712458344638404,0.008587504095846115,0.009676423880494795,0.008617515163316027
anomalous seasonal detrended,0.00867426440925796,0.008449509063371012,0.009419512494344745,0.008474414379762919
raw annual,0.0020890369002823667,0.0020849333649746228,0.002402479416499457,0.0021071283651386747
raw annual detrended,0.02341556842656322,0.022154851634410593,0.02500708739326216,0.0225737484518267
anomalous annual,0.022383406446258837,0.022313450903948383,0.025810826423763155,0.022580280132034874
anomalous annual detrended,0.023419606931913525,0.022157142464733645,0.024909155116837143,0.022585270977680334
